FI02.4;3;5.;;
FI03.1;7;2.;;
FI03.2;5;4.;;
FI04.1;2;2.;;
FY01.1;4;1.;;
FY01.2;3;2.;;
FY01.3;5;2.;;
FY01.4;6;2.;;
FY02.1;7;3.;;
FY02.2;6;3.;;
FY02.3;5;3.;;
FY04.1;7;1.;;
FY04.2;1;2.;;
FY04.3;4;4.;;
FY04.4;5;4.;;
FY04.5;3;5.;;
FY05.1;5;5.;;
FY05.2;1;5.;;
FY05.3;3;4.;;
FY06.1;5;1.;;
FY06.2;6;1.;;
FY07.1;2;2.;;
FY07.2;5;2.;;
FY09.1;1;3.;;
FY09.2;7;3.;;
FY10.1;6;3;jakso;
GE01.1;4;1.;;
GE01.2;7;1.;;
GE01.3;4;3.;;
GE01.4;4;3.;;
GE02.1;1;2.;;
GE03.1;1;5.;;
GE04.1;6;1.;;
GE11.1;2;3.;;
HI01.1;4;1.;;
HI01.2;4;2.;;
HI01.3;3;2.;;
HI01.4;1;3.;;
HI02.1;2;1.;;
HI02.2;7;2.;;
HI02.3;6;4.;;
HI02.4;3;4.;jakso;
HI03.1;7;1.;;
HI03.2;2;2.;;
HI03.3;1;4.;;
HI03.4;2;5.;;
HI04.1;1;2.;;
HI05.1;6;2.;;
HI06.1;1;1.;;
HI15.1;3;5.;;
HI16.2;1;3.;;
INT06.1;5;4.;jakso;
INT13.1;4;4.;jakso;
INT15.1;8;4.;;
IT3.1;8;2.;;
KE01.1;3;2.;;
KE01.2;5;2.;;
KE01.3;2;3.;;
KE01.4;2;3.;;
KE02.1;6;4.;;
KE02.2;5;4.;;
KE02.3;4;4.;;
KE03.1;6;5.;;
KE03.2;7;5.;;
KE03.3;5;5.;;
KE04.1;2;1.;;
KE04.2;5;1.;;
KE04.3;6;1.;;
KE05.1;2;2.;;
KE05.2;3;2.;;
KE05.3;6;2.;;
KE07.1;2;5;jakso;
KE08.1;7;3.;;
KE08.2;4;3.;;
KE08.3;6;3.;;
KE09.1;8;5.;;
KU01.1;4;1.;;
KU01.2;4;1.;;
KU01.3;1;5;jakso;
KU01.4;1;5;jakso;
KU02.1;2;4.;jakso;
KU02.2;6;3.;;
KU04.1;7;3.;;
KU08.1;2;2.;;
KU09.1;6;1.;;
LAB31.1;8;3.;;
LAB32.1;8;1.;;
LAB32.2;8;5.;;
LI01.1;1;1.;;
LI01.2;1;1.;;
LI01.3;1;1.;;
LI01.4;2;1.;;
LI01.5;2;1.;;
LI02.1;2;4.;jakso;
LI02.2;2;4.;jakso;
LI02.3;2;4.;jakso;
LI02.4;3;4.;jakso;
LI02.5;3;4.;jakso;
LI03.1;1;4.;jakso;
LI03.2;1;4.;jakso;
LI04.1;7;3.;;
LI04.2;;;;
LI05.1;3;1.;;
LI05.2;3;1.;;
LI06.1;5;3.;;
LI06.2;5;3.;;
LI06.3;5;3.;;
LI06.4;5;3.;;
LI07.1;3;2.;;
LI07.2;;;;
LI08.1;4;3.;;
LI08.2;;;;
